id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/26924985,The 'Twenty and Odd',Phylon (1960-),2020,,article,jstor,2020-07-01,1,57,http://www.jstor.org/stable/26924985,Cassandra L. Newby-Alexander,Clark Atlanta University,eng,25,36,,5678,12,unigram; bigram; trigram
http://www.jstor.org/stable/26992878,Elder Justice Policy,Generations: Journal of the American Society on Aging,2020,,article,jstor,2020-04-01,1,44,http://www.jstor.org/stable/26992878,Robert B. Blancato; Meredith Whitmire,American Society on Aging,eng,106,110,,3077,5,unigram; bigram; trigram
http://www.jstor.org/stable/48599282,"Discrimination Against Women, Rule of Law, and Culture of Peace",The Fletcher Forum of World Affairs,2020,,article,jstor,2020-01-01,1,44,http://www.jstor.org/stable/48599282,Cornelia Weiss,The Fletcher School of Law and Diplomacy,eng,97,120,,8976,24,unigram; bigram; trigram
http://www.jstor.org/stable/26965836,POLICING THE PRESS,Columbia Law Review,2020,,article,jstor,2020-12-01,8,120,http://www.jstor.org/stable/26965836,John S. Clayton,"Columbia Law Review Association, Inc.",eng,2275,2318,,20845,44,unigram; bigram; trigram
http://www.jstor.org/stable/26940040,A Comparative Analysis of the Nature and Evolution of the Domestic Jihadist Threat to Australia and Canada (2000–2020),Perspectives on Terrorism,2020,,article,jstor,2020-10-01,5,14,http://www.jstor.org/stable/26940040,Shandon Harris-Hogan; Lorne L. Dawson; Amarnath Amarasingam,Terrorism Research Initiative,eng,77,102,,17920,26,unigram; bigram; trigram
http://www.jstor.org/stable/26947521,Say Their Names,Washington History,2020,,article,jstor,2020-10-01,1/2,32,http://www.jstor.org/stable/26947521,SARAH JANE SHOENFELD,"Historical Society of Washington, D.C.",eng,54,58,,5995,5,unigram; bigram; trigram
http://www.jstor.org/stable/26918381,Consent,Ploughshares,2020,,article,jstor,2020-07-01,2,46,http://www.jstor.org/stable/26918381,KAREN SHEPARD,Ploughshares,eng,133,145,,5459,13,unigram; bigram; trigram
http://www.jstor.org/stable/48572371,THE PROSECUTOR AS A FINAL SAFEGUARD AGAINST FALSE CONVICTIONS,The Journal of Criminal Law and Criminology (1973-),2020,,article,jstor,2020-01-01,2,110,http://www.jstor.org/stable/48572371,ELIZABETH WEBSTER,Northwestern University,eng,245,305,,26098,61,unigram; bigram; trigram
http://www.jstor.org/stable/26937479,Review Article,Journal of the Royal Asiatic Society Hong Kong Branch,2020,,article,jstor,2020-01-01,,60,http://www.jstor.org/stable/26937479,David Hodson,Royal Asiatic Society Hong Kong Branch,eng,258,260,,1191,3,unigram; bigram; trigram
http://www.jstor.org/stable/48595411,PROGRESSIVE PROSECUTION IN A PANDEMIC,The Journal of Criminal Law and Criminology (1973-),2020,,article,jstor,2020-10-01,4,110,http://www.jstor.org/stable/48595411,CHAD FLANDERS; STEPHEN GALOOB,Northwestern University,eng,685,706,,9739,23,unigram; bigram; trigram
