id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
ark://27927/pbfznb608,"Part I: History, Strategy, and Innovation",History and Strategy,2012,10.1108/S0742-3322(2012)0000029005,chapter,portico,01/01/2012,,,https://doi.org/10.1108/S0742-3322(2012)0000029005,Steven J. Kahl; Brian S. Silverman; Michael A. Cusumano,Emerald Group Publishing,eng,3,33,,12705,31,unigram; bigram; trigram
ark://27927/phz6fb4hnxh,The Xerox Alto Publishing Platform,IEEE Annals of the History of Computing,2019,10.1353/ahc.2018.0023,article,portico,01/02/2019,3,40,http://doi.org/10.1353/ahc.2018.0023,Robert F. Sproull,Project MUSE,eng,38,54,,7472,17,unigram; bigram; trigram
ark://27927/phzfqvv2ckn,DIA WINNERS HAVE LASTING IMPACT ON THE INDUSTRY,Information Display,2020,10.1002/msid.1111,article,portico,01/05/2020,3,36,http://doi.org/10.1002/msid.1111,Glen Dickson,"John Wiley & Sons, Inc.",eng,16,18,,2243,3,unigram; bigram; trigram
ark://27927/phz19fhd9qh,A Taxonomy for Management and Optimization of Multiple Resources in Edge Computing,Wireless Communications and Mobile Computing,2018,10.1155/2018/7476201,article,portico,04/06/2018,null,2018,http://doi.org/10.1155/2018/7476201,Anna Kobusinska; Klervie Tocz√©; Simin Nadjm-Tehrani,Hindawi,eng,23,46,,18086,23,unigram; bigram; trigram
http://www.jstor.org/stable/resrep03193,50 Legislative Ideas to Reform Defense Acquisition,,2014,,report,jstor,10/10/2014,,,http://www.jstor.org/stable/resrep03193,William C. Greenwalt,American Enterprise Institute,eng,,,,18873,42,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/24482491,Big Data to Improve Urban Planning,Economic and Political Weekly,2015,,article,jstor,30/05/2015,22,50,http://www.jstor.org/stable/24482491,ROHAN SAMARAJIVA; SRIGANESH LOKANATHAN; KAUSHALYA MADHAWA; GABRIEL KREINDLER; DANAJA MALDENIYA,Economic and Political Weekly,eng,42,48,,6071,7,unigram; bigram; trigram
http://www.jstor.org/stable/42002132,Social Media and Global Development Rituals: a content analysis of blogs and tweets on the 2010 MDG Summit,Third World Quarterly,2013,,article,jstor,01/01/2013,3,34,http://www.jstor.org/stable/42002132,TOBIAS DENSKUS; DANIEL E ESSER,"Taylor & Francis, Ltd.",eng,405,422,,8660,18,unigram; bigram; trigram
ark://27927/pbfxqjkk9,Overcoming the unintended adverse consequences of implementing health IT through human resource and knowledge management,Strategic Human Resource Management in Health Care,2010,10.1108/S1474-8231(2010)0000009011,chapter,portico,01/01/2010,,,https://doi.org/10.1108/S1474-8231(2010)0000009011,Pavani Rangachari,Emerald Group Publishing,eng,163,193,,10280,31,unigram; bigram; trigram
ark://27927/phzjsz6xpwv,Desktop Publishing Pioneer Meeting at Computer History Museum,IEEE Annals of the History of Computing,2017,10.1353/ahc.2017.0024,article,portico,12/10/2017,3,39,http://doi.org/10.1353/ahc.2017.0024,David Walden,Project MUSE,eng,65,67,,1671,3,unigram; bigram; trigram
http://www.jstor.org/stable/resrep22796,Assessment of Accelerated Acquisition of Defense Programs,,2016,,report,jstor,01/09/2016,,,http://www.jstor.org/stable/resrep22796,Richard H. Van Atta; R. Royce Kneece <suffix>Jr.</suffix>; Michael J. Lippitz,Institute for Defense Analyses,eng,,,,32074,96,unigram; bigram; trigram; fullText
ark://27927/phzb322dmwc,Charles W. Bachman: Database Software Pioneer,IEEE Annals of the History of Computing,2012,,article,portico,20/01/2012,4,33,,Thomas. Haigh,Project MUSE,eng,70,80,,7647,11,unigram; bigram; trigram
ark://27927/phzfm6q8jkb,"A systematic approach toward security in Fog computing: Assets, vulnerabilities, possible countermeasures",Software: Practice and Experience,2020,10.1002/spe.2804,article,portico,01/06/2020,6,50,http://doi.org/10.1002/spe.2804,Guillaume Pierre; Mozhdeh Farhadi; Jean - EEÄ - EELouis Lanet; Daniele Miorandi,"John Wiley & Sons, Inc.",eng,973,997,,14655,25,unigram; bigram; trigram
ark://27927/phz7qmbdqrq,"VLSI Circuits, Systems, and Architectures for Advanced Image and Video Compression Standards",VLSI Design,2012,10.1155/2012/102585,article,portico,18/09/2012,null,2012,http://doi.org/10.1155/2012/102585,Andrey Norkin; Maurizio Martina; Muhammad Shafique,Hindawi,eng,,,,2286,3,unigram; bigram; trigram
ark://27927/phw6h0zh4m,The Oracle Story: 1984-2001,IEEE Annals of the History of Computing,2013,,article,portico,27/09/2013,2,35,,Andrew. Mendelsohn,Project MUSE,eng,10,23,,9721,14,unigram; bigram; trigram
ark://27927/phzgq92qxf9,Towards a service-oriented architecture: A framework for the design of financial trading applications in the South African investment banking environment,South African Journal of Industrial Engineering,2011,,article,portico,01/01/2011,1,22,,W. Vos; M.C. Matthee,Academy of Science of South Africa,eng,109,122,,6860,14,unigram; bigram; trigram
http://www.jstor.org/stable/resrep24234,On the Horizon A Collection of the Papers from the Next Generation,,2020,,report,jstor,01/04/2020,,,http://www.jstor.org/stable/resrep24234,Mary Boatright; Rick Cassleman; Madison Estes; Sam Guthrie; Rafael Loss; Craig Neuman; Dev Patel; James H. V. To; Kyle Yohoe,Center for Strategic and International Studies (CSIS),eng,,,,59850,113,unigram; bigram; trigram; fullText
ark://27927/pgk1d5mwc3v,Perspectives of Managing Mobile Service Security Risks,International Journal of Distributed Sensor Networks,2015,10.1155/2015/592150,article,portico,02/07/2015,null,2015,http://doi.org/10.1155/2015/592150,Muhammad Khurram Khan; Mohammed Ahmed Truki AlSudiary,Hindawi,eng,,,,8735,11,unigram; bigram; trigram
ark://27927/phzjrnxxcc7,"""If You Build It, They Will Come"": Lusk, Wyoming, and the Information Highway Imaginaire, 1989-1999",Information & Culture: A Journal of History,2015,10.1353/lac.2015.0011,article,portico,25/04/2015,2,50,http://doi.org/10.1353/lac.2015.0011,Nadine I. Kozak,Project MUSE,eng,236,256,,8603,21,unigram; bigram; trigram
ark://27927/phzh92c11sn,The benefit of using the AAPM Journal app,Journal of Applied Clinical Medical Physics,2020,10.1002/acm2.13019,article,portico,01/09/2020,9,21,http://doi.org/10.1002/acm2.13019,Amy S. Yu,"John Wiley & Sons, Inc.",eng,4,5,,1160,2,unigram; bigram; trigram
ark://27927/pbfz06znf,E-Government and Public Access Computers in Public Libraries,Advances in Librarianship,2010,10.1108/S0065-2830(2010)0000032008,chapter,portico,01/01/2010,,,https://doi.org/10.1108/S0065-2830(2010)0000032008,Diane L. Velasquez,Emerald Group Publishing,eng,113,134,,8011,22,unigram; bigram; trigram
http://www.jstor.org/stable/43829261,"Buttons, Handles, and Keys: Advances in Continuous-Control Keyboard Instruments",Computer Music Journal,2015,,article,jstor,01/07/2015,2,39,http://www.jstor.org/stable/43829261,Andrew McPherson,The MIT Press,eng,28,46,,11381,19,unigram; bigram; trigram
http://www.jstor.org/stable/26942608,How to fix out of hours care,BMJ: British Medical Journal,2016,,article,jstor,25/04/2016,,353,http://www.jstor.org/stable/26942608,Rebecca Coombes,BMJ,eng,,,,3064,4,unigram; bigram; trigram
ark://27927/phw6hc5b4f,Preserving the ABM Treaty: A Critique of the Reagan Strategic Defense Initiative,International Security,2011,,article,portico,05/10/2011,2,9,,"Sidney D. (Sidney David), Drell,Philip J., Farley,David, Holloway",Project MUSE,eng,51,91,,17829,42,unigram; bigram; trigram
ark://27927/phzgkdpz7zd,ADAS Sensors and Computing: A 22 Billion Dollar Market in 2025,PhotonicsViews,2020,10.1002/phvs.202070410,article,portico,01/08/2020,4,17,http://doi.org/10.1002/phvs.202070410,C√©dric Malaquin; Pierrick Boulay,"John Wiley & Sons, Inc.",eng,35,37,,1770,3,unigram; bigram; trigram
ark://27927/phx7hdnrn76,"Internet of Things: Architectures, Protocols, and Applications",Journal of Electrical and Computer Engineering,2017,10.1155/2017/9324035,article,portico,26/01/2017,null,2017,http://doi.org/10.1155/2017/9324035,Smruti R. Sarangi; Pallavi Sethi; Rajesh Khanna,Hindawi,eng,25,50,,20529,25,unigram; bigram; trigram
http://www.jstor.org/stable/resrep24302,Competing in Artificial Intelligence Chips China - EEÄ - EEs Challenge amid Technology War,,2020,,report,jstor,01/01/2020,,,http://www.jstor.org/stable/resrep24302,Dieter Ernst,Centre for International Governance Innovation,eng,,,,32507,70,unigram; bigram; trigram; fullText
ark://27927/phw6pf1nz4,Improving Access for Limited English-Speaking Consumers: A Review of Strategies in Health Care Settings,Journal of Health Care for the Poor and Underserved,2010,10.1353/hpu.2010.0672,article,portico,25/03/2010,5,9,http://doi.org/10.1353/hpu.2010.0672,Sherry. Riddick,Project MUSE,eng,S40,S61,,9288,23,unigram; bigram; trigram
ark://27927/phzfrbrv6z2,"Participatory water conservation education on social media in Amathole District local municipalities, Eastern Cape, South Africa",Information Development,2020,10.1177/0266666919835905,article,portico,01/06/2020,2,36,http://doi.org/10.1177/0266666919835905,Oluyinka Oludolapo Osunkunle; Charity Hove,SAGE Publications,eng,181,192,,7861,12,unigram; bigram; trigram
ark://27927/phz3ph6250p,Adaptive Video with SCReAM over LTE for Remote-Operated Working Machines,Wireless Communications and Mobile Computing,2018,10.1155/2018/3142496,article,portico,02/08/2018,null,2018,http://doi.org/10.1155/2018/3142496,Tomas J√∂nsson; Federico Tramarin; Ingemar Johansson; Siddharth Dadhich; Ulf Bodin,Hindawi,eng,10,20,,6753,10,unigram; bigram; trigram
ark://27927/phzg0b8cgsd,Issue Matter,Information & Computer Security,2019,,article,portico,11/11/2019,5,26,,,Emerald Group Publishing,eng,,,,59486,132,unigram; bigram; trigram
